0,13687,0.99,0.01,0.06,-0.15,0.30,-0.12,-0.01,-1617,-2163,7065,8,-4,-1,0,0,0,1
1,14058,0.83,0.14,-0.49,0.22,-0.89,1.08,0.02,7145,19,4223,1,-1,0,0,0,0,1
2,14078,0.97,-0.12,-0.05,0.20,-0.39,0.05,-0.26,123,-2438,8512,0,-2,1,0,0,0,1
3,14160,0.66,0.17,0.47,-0.57,1.66,-0.93,-0.32,-7505,-3837,4901,6,2,0,0,0,0,-1
4,14240,0.88,-0.38,0.09,0.28,-0.59,-0.38,-0.66,-4130,-4832,4509,1,-7,-2,0,0,0,-1
5,14309,-0.69,-0.23,-0.34,0.59,1.51,-0.84,-0.09,-8265,-16430,4440,91,-3,0,0,0,0,-1
0,14405,0.99,0.01,0.06,-0.16,0.33,-0.12,-0.01,-1615,-2072,7051,4,-5,-1,0,0,0,-1
1,14777,0.81,0.14,-0.50,0.26,-1.01,1.10,-0.03,7247,-422,4057,2,-5,5,0,0,0,-1
2,14798,0.97,-0.12,-0.06,0.22,-0.42,0.07,-0.26,390,-2429,8418,3,-6,2,0,0,0,-1
3,14879,0.63,0.18,0.45,-0.60,1.72,-0.91,-0.32,-7572,-4018,5266,11,-3,-1,0,0,0,-1
4,14960,0.88,-0.36,0.07,0.30,-0.63,-0.35,-0.63,-3776,-4743,4643,9,-17,-1,0,0,0,-1
5,15048,-0.23,-0.36,-0.14,0.89,2.45,-0.79,-0.08,-7704,-16214,4735,91,-8,-1,0,0,0,-1
0,15124,0.99,-0.02,0.03,-0.17,0.33,-0.04,-0.05,-1143,-2516,7123,3,-14,-1,0,0,0,-1
1,15516,0.83,0.27,-0.43,0.25,-0.90,0.99,0.23,7139,1791,4768,17,-8,-22,0,0,0,-1
2,15539,0.97,-0.02,-0.09,0.24,-0.49,0.16,-0.08,1263,-1493,9681,47,1,-1,0,0,0,-1
3,15618,0.68,0.29,0.25,-0.63,1.49,-0.77,0.08,-6730,-1451,6615,67,-34,61,0,0,0,-1
4,15699,0.91,-0.09,0.10,0.40,-0.85,-0.25,-0.08,-2178,-1379,5794,81,-14,16,0,0,0,-1
5,15788,0.25,-0.29,0.13,0.91,-2.49,-0.65,0.09,-5910,-11483,4113,91,5,1,0,0,0,-1
0,15862,0.96,0.22,-0.10,-0.15,0.26,0.12,0.47,7,854,5081,51,-9,-5,0,0,0,-1
1,16235,0.80,0.47,-0.35,0.11,-0.61,0.73,0.75,5392,5189,3046,7,11,1,0,0,0,-1
2,16258,0.90,0.33,0.07,0.26,-0.47,0.06,0.69,-100,4774,7096,8,-12,11,0,0,0,-1
3,16337,0.69,0.43,0.01,-0.58,1.19,-0.54,0.62,-3815,2434,4649,6,1,1,0,0,0,-1
4,16420,0.88,0.09,0.19,0.41,-0.87,-0.27,0.33,-2292,1165,3756,-3,8,-5,0,0,0,-1
5,16487,0.59,-0.19,0.50,0.61,-1.82,-0.97,0.39,-7019,-9884,3493,91,7,-4,0,0,0,-1
0,16561,0.95,0.24,-0.08,-0.17,0.31,0.07,0.51,-212,1062,5987,-19,-12,-17,0,0,0,-1
1,16955,0.78,0.51,-0.30,0.18,-0.65,0.70,0.78,5265,6282,2857,-33,-10,-15,0,0,0,-1
2,16978,0.94,0.27,0.02,0.20,-0.37,0.06,0.55,254,4306,7464,-14,-2,-16,0,0,0,-1
3,17055,0.63,0.38,-0.03,-0.68,1.48,-0.50,0.54,-3011,3065,5199,12,-21,-4,0,0,0,-1
4,17140,0.95,0.11,0.11,0.26,-0.52,-0.16,0.27,-1900,2664,4959,-18,15,-8,0,0,0,-1
5,17225,0.81,0.10,0.57,-0.06,0.60,-1.23,0.10,-7914,-9681,5248,91,8,-4,0,0,0,-1
0,17299,0.93,0.23,-0.10,-0.27,0.50,0.05,0.50,-679,966,5570,-7,-20,7,0,0,0,-1
1,17673,0.81,0.47,-0.34,0.08,-0.54,0.68,0.78,4574,4018,4367,2,-7,16,0,0,0,-1
2,17698,0.94,0.30,0.02,0.15,-0.28,0.05,0.61,-442,3619,7758,-12,12,8,0,0,0,-1
3,17774,0.60,0.45,-0.01,-0.66,1.42,-0.62,0.59,-3781,2632,4544,-3,23,-2,0,0,0,-1
4,17861,0.95,0.10,0.16,0.27,-0.53,-0.25,0.28,-3387,914,6737,-8,5,1,0,0,0,-1
5,17925,0.61,0.40,0.33,-0.60,1.51,-1.08,0.09,-6592,-9665,4971,91,-9,-6,0,0,0,-1
0,18018,0.92,0.23,-0.12,-0.28,0.51,0.10,0.51,-316,1590,6482,-34,-32,13,0,0,0,-1
1,18393,0.80,0.48,-0.34,0.05,-0.50,0.65,0.83,4073,6000,2438,7,-12,21,0,0,0,-1
2,18418,0.92,0.34,0.03,0.19,-0.33,0.07,0.70,872,5708,5762,-12,-19,4,0,0,0,-1
3,18494,0.61,0.47,-0.02,-0.64,1.35,-0.61,0.63,-4816,3385,4995,-38,25,-6,0,0,0,-1
4,18580,0.94,0.12,0.14,0.28,-0.55,-0.21,0.30,-1967,1542,6594,-20,-20,1,0,0,0,-1
5,18664,0.11,0.52,-0.06,-0.85,2.87,-1.04,0.21,-6225,-10257,6546,91,-11,-3,0,0,0,-1
0,18736,0.93,0.24,-0.17,-0.23,0.40,0.20,0.56,743,1052,5771,30,-13,-3,0,0,0,-1
1,19112,0.78,0.45,-0.43,0.08,-0.70,0.84,0.69,5758,5468,1905,-21,-37,22,0,0,0,-1
2,19138,0.96,0.22,-0.05,0.19,-0.40,0.18,0.41,1942,3116,10170,-44,-7,-2,0,0,0,-1
3,19232,0.63,0.40,0.07,-0.66,1.44,-0.66,0.43,-4489,1311,6546,-4,-5,1,0,0,0,-1
