0,9339,0.99,-0.10,0.12,-0.07,0.11,-0.23,-0.22,-2516,-3547,7048,8,-3,-1,0,0,0,-2
1,9724,0.99,0.01,-0.14,0.09,-0.20,0.29,0.00,2203,-344,8502,1,-2,0,0,0,0,-2
2,9758,0.99,0.04,-0.05,0.09,-0.18,0.10,0.08,567,498,8720,0,-2,0,0,0,0,-2
3,9829,0.92,0.08,0.31,-0.25,0.63,-0.64,-0.01,-4353,-1320,6699,5,2,0,0,0,0,-2
4,9902,0.99,-0.04,0.15,-0.04,0.08,-0.30,-0.10,-3469,-969,5883,1,-7,-1,0,0,0,-2
5,9977,-0.36,-0.45,-0.18,0.80,2.00,-1.02,0.04,-8817,-11905,5444,91,-3,0,0,0,0,-2
0,10057,0.98,-0.10,0.12,-0.08,0.14,-0.22,-0.21,-2515,-3544,7038,8,-3,-1,0,0,0,-2
1,10443,0.98,0.02,-0.14,0.10,-0.21,0.29,0.00,2187,-335,8500,1,-2,0,0,0,0,-2
2,10478,0.99,0.04,-0.05,0.09,-0.19,0.10,0.08,571,497,8716,0,-2,0,0,0,0,-2
3,10548,0.91,0.09,0.30,-0.28,0.70,-0.64,-0.01,-4371,-1302,6696,5,2,0,0,0,0,-2
4,10622,0.99,-0.04,0.15,-0.05,0.09,-0.30,-0.10,-3469,-958,5873,1,-7,-2,0,0,0,-2
5,10697,0.23,-0.47,0.15,0.84,-2.30,-1.02,0.04,-8806,-11916,5450,90,-3,0,0,0,0,-2
0,10776,0.98,-0.09,0.12,-0.10,0.18,-0.22,-0.21,-2514,-3540,7049,8,-3,-1,0,0,0,1
1,11161,0.98,0.02,-0.14,0.11,-0.23,0.29,0.00,2197,-335,8508,1,-2,0,0,0,0,1
2,11198,0.99,0.04,-0.04,0.10,-0.21,0.10,0.08,574,504,8716,0,-2,0,0,0,0,1
3,11267,0.90,0.10,0.30,-0.30,0.76,-0.64,-0.01,-4351,-1316,6688,5,2,0,0,0,0,1
4,11342,0.99,-0.04,0.15,-0.06,0.11,-0.30,-0.10,-3469,-963,5874,1,-7,-1,0,0,0,1
5,11416,0.71,-0.27,0.41,0.51,-1.42,-1.02,0.03,-8814,-11902,5451,90,-3,0,0,0,0,1
0,11495,0.98,-0.09,0.12,-0.11,0.21,-0.22,-0.20,-2514,-3540,7053,8,-3,-1,0,0,0,1
1,11881,0.98,0.02,-0.14,0.12,-0.24,0.29,0.00,2193,-342,8504,1,-2,0,0,0,0,1
